Latitude,Longitude,Location,Maintainer,Status
49.205739000,-123.0509810,Fountain location:Riverfront,Parks,Permanent
49.205755000,-123.0518170,Fountain location:Riverfront,Parks,Permanent
49.257792000,-123.0919120,Fountain location:Robson,Parks,Permanent
49.216811000,-123.0824340,Fountain location:Ross,Parks,Permanent
49.216947000,-123.0826350,Fountain location:Ross,Parks,Permanent
49.270148000,-123.0306270,Fountain location:Rupert,Parks,Permanent
49.273071000,-123.0306360,Fountain location:Rupert,Parks,Permanent
49.271120000,-123.0330790,Fountain location:Rupert,Parks,Permanent
49.270990000,-123.1462050,Fountain location:Seaforth,Parks,Permanent
49.244294000,-123.0483730,Fountain location:Slocan,Parks,Permanent
49.277484000,-123.2223960,Fountain location:Spanish Banks,Parks,Permanent
49.310653000,-123.1483320,Fountain location:Stanley,Parks,Permanent
49.292239000,-123.1470000,Fountain location:Stanley,Parks,Permanent
49.292196000,-123.1460590,Fountain location:Stanley,Parks,Permanent
49.312552000,-123.1410110,Fountain location:Stanley,Parks,Permanent
49.313033000,-123.1426250,Fountain location:Stanley,Parks,Permanent
49.299111000,-123.1341170,Fountain location:Stanley,Parks,Permanent
49.307347000,-123.1554470,Fountain location:Stanley,Parks,Permanent
49.298105000,-123.1297460,Fountain location:Stanley,Parks,Permanent
49.299691000,-123.1261880,Fountain location:Stanley,Parks,Permanent
49.298994000,-123.1206760,Fountain location:Stanley,Parks,Permanent
49.306095000,-123.1374970,Fountain location:Stanley,Parks,Permanent
49.306616000,-123.1427410,Fountain location:Stanley,Parks,Permanent
49.309337000,-123.1462450,Fountain location:Stanley,Parks,Permanent
49.275873000,-123.0854780,Fountain location:Strathcona,Parks,Permanent
49.274827000,-123.0866890,Fountain location:Strathcona,Parks,Permanent
49.266893000,-123.0356690,Fountain location:Sunrise,Parks,Permanent
49.222862000,-123.0964960,Fountain location:Sunset,Parks,Permanent
49.269121000,-123.1340310,Fountain location:Sutcliffe,Parks,Permanent
49.257356000,-123.0985900,Fountain location:Teaswamp,Parks,Permanent
49.228371000,-123.1182660,Fountain location:Tisdall,Parks,Permanent
49.251273000,-123.1638370,Fountain location:Trafalgar,Parks,Permanent
49.271811000,-123.0667320,Fountain location:Victoria,Parks,Permanent
49.281845000,-123.1100660,Fountain location:Victory Square,Parks,Permanent
49.263048000,-123.0731080,Fountain location:W.C. Shelley,Parks,Permanent
49.285703000,-123.1332250,Fountain location:West End mini-park,Parks,Permanent
49.284574000,-123.1395810,Fountain location:West End mini-park,Parks,Permanent
49.281987000,-123.1360520,Fountain location:West End mini-park,Parks,Permanent
49.285190000,-123.1280450,Fountain location:West End mini-park,Parks,Permanent
49.266021000,-123.2052620,Fountain location:West Point Grey,Parks,Permanent
49.266937000,-123.2051070,Fountain location:West Point Grey,Parks,Permanent
49.215839000,-123.1130590,Fountain location:Winona,Parks,Permanent
49.278442000,-123.0734240,Fountain location:Woodland,Parks,Permanent
49.208696192,-123.1402765,Temporary Fountain location:Northeast corner of 70th and Granville,Engineering,Temporary
49.276372284,-123.1403641,Temporary Fountain location:Vanier Park  - outside the Coast Guard building,Engineering,Temporary
49.262432744,-123.0695523,Temporary Fountain location:Northeast corner of Commercial and Broadway ,Engineering,Temporary
49.279247545,-123.1292321,Temporary Fountain location:Northwest corner of Burrard and Davie - outside the community garden,Engineering,Temporary
49.274735398,-123.0696534,Temporary Fountain location:Southwest corner of Napier and Commercial - in the community walkway,Engineering,Temporary
49.281974950,-123.1360488,Fountain location:Jervis & Burnaby,Engineering,Permanent
49.284519880,-123.1395543,Fountain location:Cardero & Burnaby,Engineering,Permanent
49.293457160,-123.1382700,Fountain location:Robson & Chilco,Engineering,Permanent
49.285710230,-123.1333367,Fountain location:Nelson & Broughton,Engineering,Permanent
49.285205770,-123.1280841,Fountain location:Haro & Bute,Engineering,Permanent
49.283065990,-123.1222905,Fountain location:Robson & Burrard,Engineering,Permanent
49.289224830,-123.1385485,Fountain location:Denman & Nelson,Engineering,Permanent
49.290674070,-123.1426468,Fountain location:Comox & Chilco,Engineering,Permanent
49.289777030,-123.1412865,Fountain location:Gilford & Comox,Engineering,Permanent
49.290498660,-123.1402251,Fountain location:Gilford & Nelson,Engineering,Permanent
49.264235140,-123.1666474,Fountain location:Broadway & Stephens,Engineering,Permanent
49.268227770,-123.1527060,Fountain location:4th & Arbutus,Engineering,Permanent
