photo_id,latitude,longitude,time,title
2417930788,43.634646,-79.404968,2008-04-13 17:53:28,"DSC_5428"
1469432640,43.656229,-79.380555,2007-05-23 15:22:58,"Thirsty Gryffin"
1458771107,NA,NA,2007-09-25 12:39:30,"Bird fountain bath"
1430695562,NA,NA,2007-09-01 18:14:11,"Drinking from the fountain"
1375804535,NA,NA,2007-09-02 12:46:50,"The Thirsty Traveller"
1099429256,NA,NA,2007-08-11 18:11:41,"Midnight Nap"
1057012952,NA,NA,2006-12-21 14:38:40,"Flash Howard"
698188738,43.662112,-79.374793,2007-07-02 15:38:30,"Spits-1.jpg"
393320341,NA,NA,2007-02-17 16:50:34,"Water Cooler"
392558954,NA,NA,2007-02-16 18:42:08,"Water Fountain"
378735301,NA,NA,2007-02-03 14:23:03,"Drinking Fountain"
327272403,43.663991,-79.435057,2006-12-16 17:04:18,"Thirsty?"
290179682,43.920501,-80.094248,2006-11-04 13:45:57,"Democratic drinking fountain"
221130813,NA,NA,2006-08-20 17:54:39,"Playing with Ollie is Exhausting work!"
213577164,NA,NA,2006-08-12 16:28:21,"Drink up"
187257994,NA,NA,2006-06-19 12:26:21,"When Taps Run Dry"
169936512,NA,NA,2006-06-18 14:49:11,"Ollie's drink"
